,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving
"Everett, WA","$114,702 ","$73,347 ","$107,357 ","$92,800 ","$69,099 ","$49,039 ","$84,427 ","$51,755 ","$51,559 ","$77,205 ","$34,349 ","$53,452 ","$26,376 ","$31,571 ","$28,794 ","$32,775 ","$39,935 ","$29,822 ","$55,612 ","$52,228 ","$41,046 ","$37,003 "
"Abilene, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Bellevue, WA","$114,702 ","$73,347 ","$107,357 ","$92,800 ","$69,099 ","$49,039 ","$84,427 ","$51,755 ","$51,559 ","$77,205 ","$34,349 ","$53,452 ","$26,376 ","$31,571 ","$28,794 ","$32,775 ","$39,935 ","$29,822 ","$55,612 ","$52,228 ","$41,046 ","$37,003 "
"Sheridan, WY","$92,471 ","$61,435 ","$62,114 ","$74,263 ","$56,518 ","$48,010 ","$64,305 ","$48,247 ","$38,361 ","$64,850 ","$30,820 ","$43,175 ","$21,757 ","$28,156 ","$25,420 ","$26,973 ","$35,192 ","$29,874 ","$49,245 ","$54,038 ","$50,983 ","$41,838 "
"Lansing, MI","$103,664 ","$65,755 ","$77,843 ","$81,515 ","$57,618 ","$45,140 ","$72,350 ","$45,305 ","$43,834 ","$65,231 ","$29,390 ","$40,727 ","$20,687 ","$25,255 ","$23,280 ","$26,819 ","$34,740 ","$26,880 ","$48,494 ","$45,017 ","$35,707 ","$32,034 "
"Teaneck, NJ","$134,998 ","$79,602 ","$97,553 ","$88,747 ","$84,900 ","$51,837 ","$91,093 ","$58,441 ","$54,131 ","$80,394 ","$29,627 ","$43,864 ","$23,825 ","$29,102 ","$26,582 ","$29,843 ","$39,009 ","$26,047 ","$57,814 ","$52,783 ","$35,295 ","$32,158 "
"Queens, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
"Sarasota, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Hayward, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Wilmington, DE","$126,532 ","$72,319 ","$92,626 ","$86,268 ","$75,467 ","$44,317 ","$86,875 ","$53,318 ","$42,980 ","$71,599 ","$31,438 ","$37,085 ","$21,778 ","$27,405 ","$24,226 ","$26,006 ","$36,663 ","$32,189 ","$48,648 ","$49,101 ","$31,458 ","$30,635 "
"Flagstaff, AZ","$88,295 ","$63,276 ","$81,834 ","$78,974 ","$57,423 ","$40,264 ","$79,005 ","$41,982 ","$44,245 ","$70,704 ","$30,337 ","$43,072 ","$22,333 ","$24,895 ","$23,959 ","$26,829 ","$34,925 ","$22,025 ","$41,653 ","$43,288 ","$33,855 ","$32,086 "
"Aberdeen, WA","$114,702 ","$73,347 ","$107,357 ","$92,800 ","$69,099 ","$49,039 ","$84,427 ","$51,755 ","$51,559 ","$77,205 ","$34,349 ","$53,452 ","$26,376 ","$31,571 ","$28,794 ","$32,775 ","$39,935 ","$29,822 ","$55,612 ","$52,228 ","$41,046 ","$37,003 "
"Salem, OR","$94,673 ","$66,578 ","$85,322 ","$82,164 ","$60,015 ","$46,621 ","$76,578 ","$50,695 ","$48,535 ","$83,542 ","$36,139 ","$48,164 ","$24,514 ","$28,485 ","$26,531 ","$29,442 ","$37,178 ","$31,458 ","$49,327 ","$46,148 ","$36,293 ","$34,719 "
"Cheyenne, WY","$92,471 ","$61,435 ","$62,114 ","$74,263 ","$56,518 ","$48,010 ","$64,305 ","$48,247 ","$38,361 ","$64,850 ","$30,820 ","$43,175 ","$21,757 ","$28,156 ","$25,420 ","$26,973 ","$35,192 ","$29,874 ","$49,245 ","$54,038 ","$50,983 ","$41,838 "
"Cambridge, MA","$116,461 ","$77,020 ","$95,053 ","$88,439 ","$76,382 ","$44,718 ","$100,619 ","$62,464 ","$57,927 ","$81,341 ","$34,081 ","$55,448 ","$26,078 ","$35,017 ","$29,637 ","$30,748 ","$41,992 ","$30,368 ","$59,100 ","$53,627 ","$38,536 ","$35,161 "
"Cherry Hill, NJ","$134,998 ","$79,602 ","$97,553 ","$88,747 ","$84,900 ","$51,837 ","$91,093 ","$58,441 ","$54,131 ","$80,394 ","$29,627 ","$43,864 ","$23,825 ","$29,102 ","$26,582 ","$29,843 ","$39,009 ","$26,047 ","$57,814 ","$52,783 ","$35,295 ","$32,158 "
"Morgantown, WV","$77,555 ","$58,544 ","$65,025 ","$72,432 ","$53,586 ","$35,923 ","$58,359 ","$44,492 ","$37,023 ","$55,581 ","$25,738 ","$31,695 ","$20,451 ","$22,909 ","$20,297 ","$22,529 ","$29,493 ","$28,804 ","$44,317 ","$38,597 ","$35,295 ","$30,779 "
"Reston, VA","$126,758 ","$79,016 ","$100,187 ","$84,159 ","$78,923 ","$47,084 ","$93,798 ","$51,683 ","$53,534 ","$64,675 ","$29,401 ","$43,021 ","$21,017 ","$25,224 ","$22,848 ","$26,366 ","$35,984 ","$31,849 ","$42,064 ","$48,123 ","$34,832 ","$33,114 "
"Mansfield, OH","$97,903 ","$64,624 ","$78,933 ","$76,187 ","$61,867 ","$43,906 ","$67,515 ","$52,392 ","$40,593 ","$61,579 ","$26,366 ","$41,046 ","$20,225 ","$25,029 ","$22,807 ","$26,654 ","$34,709 ","$28,897 ","$47,835 ","$44,986 ","$36,550 ","$31,314 "
"Boulder, CO","$116,780 ","$71,928 ","$95,177 ","$83,799 ","$68,595 ","$47,897 ","$86,114 ","$48,072 ","$45,778 ","$72,072 ","$33,248 ","$42,723 ","$22,570 ","$28,084 ","$25,049 ","$31,684 ","$37,744 ","$27,210 ","$46,241 ","$48,607 ","$36,036 ","$35,131 "
"Daytona Beach, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Key West, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Sunnyvale, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Victorville, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Bozeman, MT","$80,836 ","$57,238 ","$60,766 ","$68,759 ","$51,199 ","$38,093 ","$58,205 ","$37,702 ","$31,684 ","$63,173 ","$28,876 ","$43,011 ","$21,181 ","$25,944 ","$23,619 ","$26,088 ","$32,405 ","$30,625 ","$47,568 ","$42,671 ","$35,522 ","$35,912 "
"Bronx, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
"Des Plaines, IL","$99,672 ","$67,257 ","$85,867 ","$80,096 ","$64,768 ","$44,224 ","$88,408 ","$50,232 ","$46,673 ","$66,599 ","$28,485 ","$44,245 ","$21,490 ","$28,341 ","$23,763 ","$28,351 ","$36,026 ","$30,213 ","$67,504 ","$48,494 ","$34,647 ","$31,777 "
"Passaic, NJ","$134,998 ","$79,602 ","$97,553 ","$88,747 ","$84,900 ","$51,837 ","$91,093 ","$58,441 ","$54,131 ","$80,394 ","$29,627 ","$43,864 ","$23,825 ","$29,102 ","$26,582 ","$29,843 ","$39,009 ","$26,047 ","$57,814 ","$52,783 ","$35,295 ","$32,158 "
"Seward, AK","$99,652 ","$75,590 ","$79,005 ","$98,078 ","$73,368 ","$50,253 ","$90,918 ","$62,227 ","$48,936 ","$84,314 ","$40,871 ","$56,456 ","$25,440 ","$32,641 ","$31,407 ","$30,378 ","$42,579 ","$37,322 ","$66,404 ","$62,083 ","$36,458 ","$46,899 "
"Elkhart, IN","$83,552 ","$59,573 ","$71,064 ","$70,467 ","$53,462 ","$39,503 ","$66,681 ","$42,373 ","$37,692 ","$59,213 ","$28,300 ","$36,869 ","$19,916 ","$25,111 ","$21,912 ","$25,317 ","$33,269 ","$27,127 ","$46,786 ","$43,227 ","$35,295 ","$32,127 "
"Canton, OH","$97,903 ","$64,624 ","$78,933 ","$76,187 ","$61,867 ","$43,906 ","$67,515 ","$52,392 ","$40,593 ","$61,579 ","$26,366 ","$41,046 ","$20,225 ","$25,029 ","$22,807 ","$26,654 ","$34,709 ","$28,897 ","$47,835 ","$44,986 ","$36,550 ","$31,314 "
"Boca Raton, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
