,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving
"San Francisco, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"San Jose, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Santa Ana, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Scottsdale, AZ","$88,295 ","$63,276 ","$81,834 ","$78,974 ","$57,423 ","$40,264 ","$79,005 ","$41,982 ","$44,245 ","$70,704 ","$30,337 ","$43,072 ","$22,333 ","$24,895 ","$23,959 ","$26,829 ","$34,925 ","$22,025 ","$41,653 ","$43,288 ","$33,855 ","$32,086 "
"Seattle, WA","$114,702 ","$73,347 ","$107,357 ","$92,800 ","$69,099 ","$49,039 ","$84,427 ","$51,755 ","$51,559 ","$77,205 ","$34,349 ","$53,452 ","$26,376 ","$31,571 ","$28,794 ","$32,775 ","$39,935 ","$29,822 ","$55,612 ","$52,228 ","$41,046 ","$37,003 "
"Shreveport, LA","$82,904 ","$55,972 ","$60,190 ","$76,896 ","$58,915 ","$41,704 ","$61,538 ","$46,549 ","$38,741 ","$54,820 ","$23,650 ","$33,289 ","$19,288 ","$21,243 ","$19,762 ","$23,568 ","$30,409 ","$32,744 ","$43,185 ","$41,334 ","$40,809 ","$31,808 "
"Spokane, WA","$114,702 ","$73,347 ","$107,357 ","$92,800 ","$69,099 ","$49,039 ","$84,427 ","$51,755 ","$51,559 ","$77,205 ","$34,349 ","$53,452 ","$26,376 ","$31,571 ","$28,794 ","$32,775 ","$39,935 ","$29,822 ","$55,612 ","$52,228 ","$41,046 ","$37,003 "
"Stockton, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Tacoma, WA","$114,702 ","$73,347 ","$107,357 ","$92,800 ","$69,099 ","$49,039 ","$84,427 ","$51,755 ","$51,559 ","$77,205 ","$34,349 ","$53,452 ","$26,376 ","$31,571 ","$28,794 ","$32,775 ","$39,935 ","$29,822 ","$55,612 ","$52,228 ","$41,046 ","$37,003 "
"Tampa, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Toledo, OH","$97,903 ","$64,624 ","$78,933 ","$76,187 ","$61,867 ","$43,906 ","$67,515 ","$52,392 ","$40,593 ","$61,579 ","$26,366 ","$41,046 ","$20,225 ","$25,029 ","$22,807 ","$26,654 ","$34,709 ","$28,897 ","$47,835 ","$44,986 ","$36,550 ","$31,314 "
"Tucson, AZ","$88,295 ","$63,276 ","$81,834 ","$78,974 ","$57,423 ","$40,264 ","$79,005 ","$41,982 ","$44,245 ","$70,704 ","$30,337 ","$43,072 ","$22,333 ","$24,895 ","$23,959 ","$26,829 ","$34,925 ","$22,025 ","$41,653 ","$43,288 ","$33,855 ","$32,086 "
"Tulsa, OK","$81,731 ","$60,272 ","$66,846 ","$75,559 ","$56,723 ","$38,927 ","$64,120 ","$38,330 ","$36,931 ","$56,415 ","$26,479 ","$37,291 ","$19,648 ","$22,961 ","$20,533 ","$25,039 ","$32,024 ","$28,567 ","$39,863 ","$42,702 ","$34,812 ","$32,497 "
"Virginia Beach, VA","$126,758 ","$79,016 ","$100,187 ","$84,159 ","$78,923 ","$47,084 ","$93,798 ","$51,683 ","$53,534 ","$64,675 ","$29,401 ","$43,021 ","$21,017 ","$25,224 ","$22,848 ","$26,366 ","$35,984 ","$31,849 ","$42,064 ","$48,123 ","$34,832 ","$33,114 "
"Washington, DC","$141,068 ","$95,578 ","$109,291 ","$108,097 ","$104,363 ","$57,948 ","$160,397 ","$68,821 ","$82,225 ","$81,423 ","$30,954 ","$57,834 ","$27,611 ","$31,561 ","$30,584 ","$32,415 ","$50,047 ","$43,618 ","$53,956 ","$57,598 ","$53,555 ","$39,379 "
"Wichita, KS","$91,607 ","$62,289 ","$71,455 ","$74,644 ","$59,779 ","$39,719 ","$59,871 ","$42,301 ","$38,927 ","$57,330 ","$26,675 ","$36,972 ","$20,019 ","$25,080 ","$22,179 ","$26,078 ","$33,197 ","$31,911 ","$41,056 ","$44,091 ","$36,849 ","$34,318 "
"Winston-Salem, NC","$109,651 ","$67,412 ","$86,536 ","$75,179 ","$61,301 ","$44,770 ","$62,638 ","$44,564 ","$44,729 ","$60,777 ","$26,150 ","$36,694 ","$19,813 ","$24,072 ","$22,015 ","$26,068 ","$34,050 ","$28,115 ","$38,124 ","$43,432 ","$31,849 ","$29,473 "
"Knoxville, TN","$83,470 ","$59,717 ","$72,154 ","$70,344 ","$57,773 ","$40,717 ","$72,905 ","$46,663 ","$41,735 ","$56,600 ","$27,189 ","$34,174 ","$19,751 ","$23,691 ","$21,089 ","$25,337 ","$32,981 ","$27,004 ","$38,474 ","$42,877 ","$33,330 ","$31,211 "
"Burlington, VT","$87,492 ","$61,939 ","$71,239 ","$69,685 ","$63,811 ","$40,367 ","$71,475 ","$46,344 ","$40,871 ","$67,648 ","$31,520 ","$39,801 ","$26,788 ","$29,411 ","$27,950 ","$28,423 ","$37,332 ","$32,333 ","$43,062 ","$45,469 ","$36,170 ","$35,604 "
"Wheeling, WV","$77,555 ","$58,544 ","$65,025 ","$72,432 ","$53,586 ","$35,923 ","$58,359 ","$44,492 ","$37,023 ","$55,581 ","$25,738 ","$31,695 ","$20,451 ","$22,909 ","$20,297 ","$22,529 ","$29,493 ","$28,804 ","$44,317 ","$38,597 ","$35,295 ","$30,779 "
"Stamford, CT","$122,942 ","$76,845 ","$90,866 ","$86,762 ","$77,185 ","$54,769 ","$85,569 ","$61,867 ","$53,370 ","$79,221 ","$34,236 ","$53,822 ","$24,144 ","$31,468 ","$26,849 ","$31,180 ","$41,879 ","$28,958 ","$56,600 ","$53,627 ","$40,531 ","$35,861 "
"Savannah, GA","$103,633 ","$66,054 ","$84,283 ","$75,806 ","$59,840 ","$43,021 ","$77,431 ","$48,669 ","$47,722 ","$62,062 ","$28,166 ","$36,530 ","$19,504 ","$24,165 ","$22,045 ","$25,183 ","$33,516 ","$25,502 ","$38,412 ","$43,319 ","$31,520 ","$30,399 "
"Harrisburg, PA","$110,721 ","$67,916 ","$80,836 ","$75,539 ","$66,393 ","$41,540 ","$77,534 ","$55,098 ","$44,543 ","$64,212 ","$30,450 ","$38,515 ","$21,058 ","$26,983 ","$23,887 ","$27,395 ","$35,563 ","$30,090 ","$47,763 ","$45,552 ","$37,528 ","$33,505 "
"Joplin, MO","$95,022 ","$64,007 ","$78,213 ","$75,467 ","$53,761 ","$38,423 ","$70,920 ","$44,451 ","$44,091 ","$58,503 ","$26,068 ","$37,065 ","$20,111 ","$24,957 ","$22,169 ","$25,882 ","$33,824 ","$30,008 ","$51,271 ","$42,774 ","$34,843 ","$32,549 "
"Santa Rosa, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Naples, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Germantown, MD","$120,175 ","$77,493 ","$98,592 ","$93,973 ","$84,036 ","$48,730 ","$69,263 ","$58,678 ","$54,378 ","$75,395 ","$31,736 ","$46,621 ","$22,231 ","$27,364 ","$24,658 ","$27,960 ","$38,525 ","$34,441 ","$46,508 ","$50,891 ","$36,231 ","$35,357 "
"Hartford, CT","$122,942 ","$76,845 ","$90,866 ","$86,762 ","$77,185 ","$54,769 ","$85,569 ","$61,867 ","$53,370 ","$79,221 ","$34,236 ","$53,822 ","$24,144 ","$31,468 ","$26,849 ","$31,180 ","$41,879 ","$28,958 ","$56,600 ","$53,627 ","$40,531 ","$35,861 "
"Appleton, WI","$99,220 ","$61,075 ","$73,738 ","$70,128 ","$59,120 ","$42,270 ","$65,221 ","$47,835 ","$41,612 ","$64,871 ","$31,407 ","$42,116 ","$20,369 ","$25,636 ","$23,753 ","$27,662 ","$35,511 ","$31,880 ","$50,993 ","$45,850 ","$36,818 ","$34,616 "
"Las Cruces, NM","$86,042 ","$59,892 ","$74,757 ","$90,558 ","$70,200 ","$43,165 ","$66,681 ","$46,570 ","$42,332 ","$66,918 ","$28,372 ","$37,939 ","$20,142 ","$23,475 ","$20,615 ","$25,183 ","$32,055 ","$22,755 ","$39,678 ","$40,552 ","$33,711 ","$31,098 "
"Columbia, SC","$89,282 ","$58,421 ","$70,158 ","$75,724 ","$59,254 ","$39,894 ","$56,363 ","$47,074 ","$37,846 ","$59,316 ","$26,150 ","$35,686 ","$19,566 ","$22,632 ","$20,430 ","$24,216 ","$32,394 ","$32,981 ","$37,600 ","$41,869 ","$35,748 ","$29,432 "
"Newport, RI","$122,715 ","$74,026 ","$85,671 ","$84,982 ","$72,370 ","$46,344 ","$75,415 ","$59,491 ","$53,473 ","$76,547 ","$32,034 ","$45,860 ","$24,350 ","$29,390 ","$26,057 ","$30,584 ","$39,194 ","$30,532 ","$52,269 ","$49,121 ","$36,036 ","$31,077 "
"Iowa City, IA","$86,227 ","$61,425 ","$76,125 ","$68,708 ","$56,991 ","$40,758 ","$60,941 ","$45,078 ","$35,820 ","$57,732 ","$30,172 ","$41,694 ","$20,410 ","$26,057 ","$23,815 ","$25,708 ","$35,182 ","$32,795 ","$44,111 ","$45,027 ","$35,635 ","$35,223 "
"State College, PA","$110,721 ","$67,916 ","$80,836 ","$75,539 ","$66,393 ","$41,540 ","$77,534 ","$55,098 ","$44,543 ","$64,212 ","$30,450 ","$38,515 ","$21,058 ","$26,983 ","$23,887 ","$27,395 ","$35,563 ","$30,090 ","$47,763 ","$45,552 ","$37,528 ","$33,505 "
"Asheville, NC","$109,651 ","$67,412 ","$86,536 ","$75,179 ","$61,301 ","$44,770 ","$62,638 ","$44,564 ","$44,729 ","$60,777 ","$26,150 ","$36,694 ","$19,813 ","$24,072 ","$22,015 ","$26,068 ","$34,050 ","$28,115 ","$38,124 ","$43,432 ","$31,849 ","$29,473 "
"Monterey, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Allegan, MI","$103,664 ","$65,755 ","$77,843 ","$81,515 ","$57,618 ","$45,140 ","$72,350 ","$45,305 ","$43,834 ","$65,231 ","$29,390 ","$40,727 ","$20,687 ","$25,255 ","$23,280 ","$26,819 ","$34,740 ","$26,880 ","$48,494 ","$45,017 ","$35,707 ","$32,034 "
"Plattsburgh, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
"Topeka, KS","$91,607 ","$62,289 ","$71,455 ","$74,644 ","$59,779 ","$39,719 ","$59,871 ","$42,301 ","$38,927 ","$57,330 ","$26,675 ","$36,972 ","$20,019 ","$25,080 ","$22,179 ","$26,078 ","$33,197 ","$31,911 ","$41,056 ","$44,091 ","$36,849 ","$34,318 "
"Albany, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
"Syracuse, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
"Greenville, SC","$89,282 ","$58,421 ","$70,158 ","$75,724 ","$59,254 ","$39,894 ","$56,363 ","$47,074 ","$37,846 ","$59,316 ","$26,150 ","$35,686 ","$19,566 ","$22,632 ","$20,430 ","$24,216 ","$32,394 ","$32,981 ","$37,600 ","$41,869 ","$35,748 ","$29,432 "
"Fort Myers, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Springfield, MO","$95,022 ","$64,007 ","$78,213 ","$75,467 ","$53,761 ","$38,423 ","$70,920 ","$44,451 ","$44,091 ","$58,503 ","$26,068 ","$37,065 ","$20,111 ","$24,957 ","$22,169 ","$25,882 ","$33,824 ","$30,008 ","$51,271 ","$42,774 ","$34,843 ","$32,549 "
"Wilmington, NC","$109,651 ","$67,412 ","$86,536 ","$75,179 ","$61,301 ","$44,770 ","$62,638 ","$44,564 ","$44,729 ","$60,777 ","$26,150 ","$36,694 ","$19,813 ","$24,072 ","$22,015 ","$26,068 ","$34,050 ","$28,115 ","$38,124 ","$43,432 ","$31,849 ","$29,473 "
"Vancouver, WA","$114,702 ","$73,347 ","$107,357 ","$92,800 ","$69,099 ","$49,039 ","$84,427 ","$51,755 ","$51,559 ","$77,205 ","$34,349 ","$53,452 ","$26,376 ","$31,571 ","$28,794 ","$32,775 ","$39,935 ","$29,822 ","$55,612 ","$52,228 ","$41,046 ","$37,003 "
"Longview, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Huntsville, AL","$99,765 ","$66,198 ","$79,818 ","$86,062 ","$57,948 ","$43,247 ","$66,208 ","$47,619 ","$36,962 ","$54,038 ","$24,802 ","$35,254 ","$19,556 ","$23,012 ","$19,803 ","$24,401 ","$31,983 ","$31,962 ","$38,453 ","$44,173 ","$31,386 ","$28,979 "
"Redding, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Bergen County, NJ","$134,998 ","$79,602 ","$97,553 ","$88,747 ","$84,900 ","$51,837 ","$91,093 ","$58,441 ","$54,131 ","$80,394 ","$29,627 ","$43,864 ","$23,825 ","$29,102 ","$26,582 ","$29,843 ","$39,009 ","$26,047 ","$57,814 ","$52,783 ","$35,295 ","$32,158 "
"Ann Arbor, MI","$103,664 ","$65,755 ","$77,843 ","$81,515 ","$57,618 ","$45,140 ","$72,350 ","$45,305 ","$43,834 ","$65,231 ","$29,390 ","$40,727 ","$20,687 ","$25,255 ","$23,280 ","$26,819 ","$34,740 ","$26,880 ","$48,494 ","$45,017 ","$35,707 ","$32,034 "
"Port St Lucie, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Santa Barbara, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Rockford, IL","$99,672 ","$67,257 ","$85,867 ","$80,096 ","$64,768 ","$44,224 ","$88,408 ","$50,232 ","$46,673 ","$66,599 ","$28,485 ","$44,245 ","$21,490 ","$28,341 ","$23,763 ","$28,351 ","$36,026 ","$30,213 ","$67,504 ","$48,494 ","$34,647 ","$31,777 "
"Columbus, GA","$103,633 ","$66,054 ","$84,283 ","$75,806 ","$59,840 ","$43,021 ","$77,431 ","$48,669 ","$47,722 ","$62,062 ","$28,166 ","$36,530 ","$19,504 ","$24,165 ","$22,045 ","$25,183 ","$33,516 ","$25,502 ","$38,412 ","$43,319 ","$31,520 ","$30,399 "
"Manchester, NH","$104,404 ","$66,877 ","$84,406 ","$79,705 ","$66,568 ","$44,574 ","$74,479 ","$49,090 ","$43,556 ","$71,773 ","$33,999 ","$48,185 ","$22,580 ","$28,886 ","$25,749 ","$28,567 ","$36,931 ","$34,102 ","$46,014 ","$49,296 ","$37,198 ","$32,929 "
"Marietta, GA","$103,633 ","$66,054 ","$84,283 ","$75,806 ","$59,840 ","$43,021 ","$77,431 ","$48,669 ","$47,722 ","$62,062 ","$28,166 ","$36,530 ","$19,504 ","$24,165 ","$22,045 ","$25,183 ","$33,516 ","$25,502 ","$38,412 ","$43,319 ","$31,520 ","$30,399 "
"Allentown, PA","$110,721 ","$67,916 ","$80,836 ","$75,539 ","$66,393 ","$41,540 ","$77,534 ","$55,098 ","$44,543 ","$64,212 ","$30,450 ","$38,515 ","$21,058 ","$26,983 ","$23,887 ","$27,395 ","$35,563 ","$30,090 ","$47,763 ","$45,552 ","$37,528 ","$33,505 "
"Rockville, MD","$120,175 ","$77,493 ","$98,592 ","$93,973 ","$84,036 ","$48,730 ","$69,263 ","$58,678 ","$54,378 ","$75,395 ","$31,736 ","$46,621 ","$22,231 ","$27,364 ","$24,658 ","$27,960 ","$38,525 ","$34,441 ","$46,508 ","$50,891 ","$36,231 ","$35,357 "
"Princeton, NJ","$134,998 ","$79,602 ","$97,553 ","$88,747 ","$84,900 ","$51,837 ","$91,093 ","$58,441 ","$54,131 ","$80,394 ","$29,627 ","$43,864 ","$23,825 ","$29,102 ","$26,582 ","$29,843 ","$39,009 ","$26,047 ","$57,814 ","$52,783 ","$35,295 ","$32,158 "
"New Haven, CT","$122,942 ","$76,845 ","$90,866 ","$86,762 ","$77,185 ","$54,769 ","$85,569 ","$61,867 ","$53,370 ","$79,221 ","$34,236 ","$53,822 ","$24,144 ","$31,468 ","$26,849 ","$31,180 ","$41,879 ","$28,958 ","$56,600 ","$53,627 ","$40,531 ","$35,861 "
"Macon, GA","$103,633 ","$66,054 ","$84,283 ","$75,806 ","$59,840 ","$43,021 ","$77,431 ","$48,669 ","$47,722 ","$62,062 ","$28,166 ","$36,530 ","$19,504 ","$24,165 ","$22,045 ","$25,183 ","$33,516 ","$25,502 ","$38,412 ","$43,319 ","$31,520 ","$30,399 "
"Idaho Falls, ID","$72,401 ","$58,020 ","$68,194 ","$78,059 ","$51,199 ","$41,704 ","$63,801 ","$36,458 ","$33,958 ","$63,163 ","$28,783 ","$39,492 ","$19,731 ","$24,617 ","$22,488 ","$25,924 ","$32,189 ","$24,422 ","$39,060 ","$41,642 ","$33,083 ","$32,353 "
"Olympia, WA","$114,702 ","$73,347 ","$107,357 ","$92,800 ","$69,099 ","$49,039 ","$84,427 ","$51,755 ","$51,559 ","$77,205 ","$34,349 ","$53,452 ","$26,376 ","$31,571 ","$28,794 ","$32,775 ","$39,935 ","$29,822 ","$55,612 ","$52,228 ","$41,046 ","$37,003 "
"Lexington, KY","$82,781 ","$58,297 ","$67,144 ","$70,848 ","$55,633 ","$39,935 ","$62,525 ","$51,045 ","$38,700 ","$58,061 ","$28,249 ","$32,960 ","$19,669 ","$24,370 ","$22,755 ","$24,185 ","$31,798 ","$27,539 ","$43,515 ","$43,751 ","$35,666 ","$31,273 "
"Tallahassee, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Fort Lauderdale, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Nashville, TN","$83,470 ","$59,717 ","$72,154 ","$70,344 ","$57,773 ","$40,717 ","$72,905 ","$46,663 ","$41,735 ","$56,600 ","$27,189 ","$34,174 ","$19,751 ","$23,691 ","$21,089 ","$25,337 ","$32,981 ","$27,004 ","$38,474 ","$42,877 ","$33,330 ","$31,211 "
"West Palm Beach, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Davenport, IA","$86,227 ","$61,425 ","$76,125 ","$68,708 ","$56,991 ","$40,758 ","$60,941 ","$45,078 ","$35,820 ","$57,732 ","$30,172 ","$41,694 ","$20,410 ","$26,057 ","$23,815 ","$25,708 ","$35,182 ","$32,795 ","$44,111 ","$45,027 ","$35,635 ","$35,223 "
"Athens, GA","$103,633 ","$66,054 ","$84,283 ","$75,806 ","$59,840 ","$43,021 ","$77,431 ","$48,669 ","$47,722 ","$62,062 ","$28,166 ","$36,530 ","$19,504 ","$24,165 ","$22,045 ","$25,183 ","$33,516 ","$25,502 ","$38,412 ","$43,319 ","$31,520 ","$30,399 "
"Hattiesburg, MS","$69,654 ","$57,536 ","$63,677 ","$71,990 ","$54,234 ","$36,602 ","$60,931 ","$41,457 ","$37,095 ","$53,483 ","$23,630 ","$30,429 ","$19,412 ","$20,770 ","$20,081 ","$22,241 ","$29,925 ","$33,680 ","$36,941 ","$39,750 ","$31,180 ","$27,950 "
"McAllen, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Palmdale, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Norwalk, CT","$122,942 ","$76,845 ","$90,866 ","$86,762 ","$77,185 ","$54,769 ","$85,569 ","$61,867 ","$53,370 ","$79,221 ","$34,236 ","$53,822 ","$24,144 ","$31,468 ","$26,849 ","$31,180 ","$41,879 ","$28,958 ","$56,600 ","$53,627 ","$40,531 ","$35,861 "
"Bloomington, IN","$83,552 ","$59,573 ","$71,064 ","$70,467 ","$53,462 ","$39,503 ","$66,681 ","$42,373 ","$37,692 ","$59,213 ","$28,300 ","$36,869 ","$19,916 ","$25,111 ","$21,912 ","$25,317 ","$33,269 ","$27,127 ","$46,786 ","$43,227 ","$35,295 ","$32,127 "
"Waco, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Springfield, MA","$116,461 ","$77,020 ","$95,053 ","$88,439 ","$76,382 ","$44,718 ","$100,619 ","$62,464 ","$57,927 ","$81,341 ","$34,081 ","$55,448 ","$26,078 ","$35,017 ","$29,637 ","$30,748 ","$41,992 ","$30,368 ","$59,100 ","$53,627 ","$38,536 ","$35,161 "
"Kenosha, WI","$99,220 ","$61,075 ","$73,738 ","$70,128 ","$59,120 ","$42,270 ","$65,221 ","$47,835 ","$41,612 ","$64,871 ","$31,407 ","$42,116 ","$20,369 ","$25,636 ","$23,753 ","$27,662 ","$35,511 ","$31,880 ","$50,993 ","$45,850 ","$36,818 ","$34,616 "
"Irvine, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Decatur, IL","$99,672 ","$67,257 ","$85,867 ","$80,096 ","$64,768 ","$44,224 ","$88,408 ","$50,232 ","$46,673 ","$66,599 ","$28,485 ","$44,245 ","$21,490 ","$28,341 ","$23,763 ","$28,351 ","$36,026 ","$30,213 ","$67,504 ","$48,494 ","$34,647 ","$31,777 "
"Aurora, IL","$99,672 ","$67,257 ","$85,867 ","$80,096 ","$64,768 ","$44,224 ","$88,408 ","$50,232 ","$46,673 ","$66,599 ","$28,485 ","$44,245 ","$21,490 ","$28,341 ","$23,763 ","$28,351 ","$36,026 ","$30,213 ","$67,504 ","$48,494 ","$34,647 ","$31,777 "
"Providence, RI","$122,715 ","$74,026 ","$85,671 ","$84,982 ","$72,370 ","$46,344 ","$75,415 ","$59,491 ","$53,473 ","$76,547 ","$32,034 ","$45,860 ","$24,350 ","$29,390 ","$26,057 ","$30,584 ","$39,194 ","$30,532 ","$52,269 ","$49,121 ","$36,036 ","$31,077 "
"Springfield, IL","$99,672 ","$67,257 ","$85,867 ","$80,096 ","$64,768 ","$44,224 ","$88,408 ","$50,232 ","$46,673 ","$66,599 ","$28,485 ","$44,245 ","$21,490 ","$28,341 ","$23,763 ","$28,351 ","$36,026 ","$30,213 ","$67,504 ","$48,494 ","$34,647 ","$31,777 "
